kode;operator;kategori;betegnelse;imei;abo_type;gyldig_fra;gyldig_til;merknad
TEXMAXTILNY;Telia;tilbehorsbinding;TELIA X MAX TILBEHØRSBINDING, NY;;A;2023-03-17 00:00:00;;
TEXSTATILEKS;Telia;tilbehorsbinding;TELIA X START TILBEHØRSBINDING, EKSISTERENDE;;B;2023-03-17 00:00:00;;
TEXSTATILNY;Telia;tilbehorsbinding;TELIA X START TILBEHØRSBINDING, NY;;A;2023-03-17 00:00:00;;
TEXUNGTILEKS;Telia;tilbehorsbinding;TELIA X UNG TILBEHØRSBINDING, EKSISTERENDE;;B;2023-03-17 00:00:00;;
TEXUNGTILNY;Telia;tilbehorsbinding;TELIA X UNG TILBEHØRSBINDING, NY;;A;2023-03-17 00:00:00;;
TEXVIATILBEKS;Telia;tilbehorsbinding;TELIA X VIAPLAY TILBEHØRSBINDING, EKSISTERENDE;;B;2024-06-18 00:00:00;;
TEXVIATILBNY;Telia;tilbehorsbinding;TELIA X VIAPLAY TILBEHØRSBINDING, NY;;A;2024-06-18 00:00:00;;
DSNC200;Telia;tilleggstjeneste;Imeistøtte på 200,- som kicker på datasektor;;;;;
DSNC500;Telia;tilleggstjeneste;Imeistøtte på 500,- som kicker på datasektor;;;;;
SNCFORSLARGE;Telia;tilleggstjeneste;Forsikring Large / Xl;NEI;;;;Ingen bindingstid og kan ikke kombineres med Svitsj
SNCFORSMED;Telia;tilleggstjeneste;Forsikring Medium;NEI;;;;Ingen bindingstid og kan ikke kombineres med Svitsj
SNCFORSSMALL;Telia;tilleggstjeneste;Forsikring Small;NEI;;;;Ingen bindingstid og kan ikke kombineres med Svitsj
SICEJR3GB;ice;abonnement;Ice Junior 3 GB;;;;;UTEN BINDING
SICELAN12GB;ice;abonnement;ICE MOBIL 12GB;;;;;UTEN BINDING
SICELAN12GB12;ice;abonnement;ICE MOBIL 12GB - 12 MND AVTALETID;;;;;12 MND BINDING | MÅ BINDES OPP TIL EN 4G TERMINAL
SICELAN18GB;ice;abonnement;ICE MOBIL 18GB;;;2.06;;UTEN BINDING
SICELAN18GB12;ice;abonnement;ICE MOBIL 18GB- 12 MND AVTALETID;;;2.06;;12 MND BINDING | MÅ BINDES OPP TIL EN 4G TERMINAL
SICELAN20GB;ice;abonnement;ICE MOBIL 20GB;;;;;UTEN BINDING
SICELAN20GB12;ice;abonnement;ICE MOBIL 20GB - 12 MND AVTALETID;;;;;12 MND BINDING | MÅ BINDES OPP TIL EN 4G TERMINAL
SICELAN2GB;ice;abonnement;ICE MOBIL 2GB;;;;;UTEN BINDING
SICELAN35GB;ice;abonnement;ICE MOBIL 35GB;;;;;UTEN BINDING
SICELAN35GB12;ice;abonnement;ICE MOBIL 35GB - 12 MND AVTALETID;;;;;12 MND BINDING | MÅ BINDES OPP TIL EN 4G TERMINAL
SICELAN5GB;ice;abonnement;ICE MOBIL 5GB;;;2.06;;UTEN BINDING
SICELAN5GB12;ice;abonnement;ICE MOBIL 5GB- 12 MND AVTALETID;;;2.06;;12 MND BINDING | MÅ BINDES OPP TIL EN 4G TERMINAL
SICELAN6GB;ice;abonnement;ICE MOBIL 6GB;;;;;UTEN BINDING
SICELANKJENT;ice;abonnement;ICE MOBIL BLI KJENT;;;;;UTEN BINDING
SICEMAX;ice;abonnement;ICE MAX 349 - UTEN AVTALETID;;;3.3;8.4;UTEN BINDING - Kampanje 349,- for iceMax i 12 md. for NYE kunder
SICEMAX12;ice;abonnement;ICE MAX 399 - MED 12 MND AVTALETID;;;;;12 MND BINDING | MÅ BINDES OPP TIL EN 4G TERMINAL
SICEMAXNET;ice;abonnement;ICE MAX MED NETFLIX;;;;;
SICEMAXNET12;ice;abonnement;ICE MAX MED NETFLIX 12 MND AVTALETID;;;;;
SICESUPER60;ice;abonnement;ICE SUPER 60 GB - UTEN BINDING;;;5.06;19.01;KUN NYE KUNDER - HUSK RABATTREGLER!
SICEUMAXNET;ice;abonnement;ICE UNG MAX MED NETFLIX;;;;;
SICEUMAXNET12;ice;abonnement;ICE UNG MAX MED NETFLIX 12 MND AVTALETID;;;;;
SICEUNG12GB;ice;abonnement;ICE UNG 12GB;;;;;OPPTIL 29 ÅR - UTEN BINDING
SICEUNG12GB12;ice;abonnement;ICE UNG 12GB - 12 MND AVTALETID;;;;;OPPTIL 29 ÅR - 12 MND BINDING | MÅ BINDES OPP TIL EN 4G TERMINAL
SICEUNG18GB;ice;abonnement;ICE UNG 18GB;;;2.06;;OPPTIL 29 ÅR - UTEN BINDING
SICEUNG18GB12;ice;abonnement;ICE UNG 18GB - 12 MND AVTALETID;;;2.06;;OPPTIL 29 ÅR - 12 MND BINDING | MÅ BINDES OPP TIL EN 4G TERMINAL
SICEUNG20GB;ice;abonnement;ICE UNG 20GB;;;;;OPPTIL 29 ÅR - UTEN BINDING
SICEUNG20GB12;ice;abonnement;ICE UNG 20GB - 12 MND AVTALETID;;;;;OPPTIL 29 ÅR - 12 MND BINDING | MÅ BINDES OPP TIL EN 4G TERMINAL
SICEUNG35GB;ice;abonnement;ICE UNG 35GB;;;;;OPPTIL 29 ÅR - UTEN BINDING
SICEUNG35GB12;ice;abonnement;ICE UNG 35GB - 12 MND AVTALETID;;;;;OPPTIL 29 ÅR - 12 MND BINDING | MÅ BINDES OPP TIL EN 4G TERMINAL
SICEUNG5GB;ice;abonnement;ICE UNG 5GB;;;2.06;;OPPTIL 29 ÅR - UTEN BINDING
SICEUNG5GB12;ice;abonnement;ICE UNG 5GB - 12 MND AVTALETID;;;;;OPPTIL 29 ÅR - 12 MND BINDING | MÅ BINDES OPP TIL EN 4G TERMINAL
SICEUNG6GB;ice;abonnement;ICE UNG 6GB;;;;;OPPTIL 29 ÅR - UTEN BINDING
SICEUNGMAX;ice;abonnement;ICE UNG MAX 349- UTEN AVTALETID;;;11.03;;OPPTIL 29 ÅR - UTEN BINDING
SICEUNGMAX12;ice;abonnement;ICE UNG MAX 349 - MED 12 MND AVTALETID;;;;;OPPTIL 29 ÅR - 12 MND BINDING | MÅ BINDES OPP TIL EN 4G TERMINAL
SICEFAMILIE;ice;tilleggstjeneste;ICE Familieprovisjon FOR NYE KUNDER;;;;;300,- pr NYSALG når det er 2 eller fler nysalg på samme ordre
